2025-03-28T14:55:56.779+06:00  INFO 96925 --- [JobSearch] [main] o.e.jobsearch_51.JoBSearch51Application  : Starting JoBSearch51Application using Java 21.0.4 with PID 96925 (/Users/kanat/Desktop/JoBSearch_51/target/classes started by kanat in /Users/kanat/Desktop/JoBSearch_51)
2025-03-28T14:55:56.780+06:00 DEBUG 96925 --- [JobSearch] [main] o.e.jobsearch_51.JoBSearch51Application  : Running with Spring Boot v3.4.3, Spring v6.2.3
2025-03-28T14:55:56.780+06:00  INFO 96925 --- [JobSearch] [main] o.e.jobsearch_51.JoBSearch51Application  : No active profile set, falling back to 1 default profile: "default"
2025-03-28T14:55:57.436+06:00  INFO 96925 --- [JobSearch] [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8080 (http)
2025-03-28T14:55:57.446+06:00  INFO 96925 --- [JobSearch] [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2025-03-28T14:55:57.446+06:00  INFO 96925 --- [JobSearch] [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.36]
2025-03-28T14:55:57.469+06:00  INFO 96925 --- [JobSearch] [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2025-03-28T14:55:57.469+06:00  INFO 96925 --- [JobSearch] [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 668 ms
2025-03-28T14:55:57.551+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.configuration.AutoloadedConfigurations instance liquibase.GlobalConfiguration
2025-03-28T14:55:57.553+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.configuration.AutoloadedConfigurations instance liquibase.integration.commandline.LiquibaseCommandLineConfiguration
2025-03-28T14:55:57.553+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.configuration.AutoloadedConfigurations instance liquibase.logging.core.DefaultLoggerConfiguration
2025-03-28T14:55:57.553+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.configuration.AutoloadedConfigurations instance liquibase.sql.SqlConfiguration
2025-03-28T14:55:57.554+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.configuration.AutoloadedConfigurations instance liquibase.parser.ChangeLogParserConfiguration
2025-03-28T14:55:57.554+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.configuration                  : Found ConfigurationDefinitions in liquibase.GlobalConfiguration
2025-03-28T14:55:57.554+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.configuration                  : Found ConfigurationDefinitions in liquibase.integration.commandline.LiquibaseCommandLineConfiguration
2025-03-28T14:55:57.554+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.configuration                  : Found ConfigurationDefinitions in liquibase.logging.core.DefaultLoggerConfiguration
2025-03-28T14:55:57.554+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.configuration                  : Found ConfigurationDefinitions in liquibase.sql.SqlConfiguration
2025-03-28T14:55:57.554+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.configuration                  : Found ConfigurationDefinitions in liquibase.parser.ChangeLogParserConfiguration
2025-03-28T14:55:57.555+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.configuration.ConfigurationValueProvider instance liquibase.configuration.core.DeprecatedConfigurationValueProvider
2025-03-28T14:55:57.555+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.configuration.ConfigurationValueProvider instance liquibase.configuration.core.SystemPropertyValueProvider
2025-03-28T14:55:57.555+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.configuration.ConfigurationValueProvider instance liquibase.configuration.core.ScopeValueProvider
2025-03-28T14:55:57.555+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.configuration.ConfigurationValueProvider instance liquibase.configuration.core.EnvironmentValueProvider
2025-03-28T14:55:57.557+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.logging.LogService instance liquibase.logging.core.BufferedLogService
2025-03-28T14:55:57.557+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.logging.LogService instance liquibase.logging.core.CompositeLogService
2025-03-28T14:55:57.557+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.logging.LogService instance liquibase.logging.core.JavaLogService
2025-03-28T14:55:57.557+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.servicelocator.ServiceLocator instance liquibase.servicelocator.StandardServiceLocator
2025-03-28T14:55:57.572+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.configuration                  : No configuration value for liquibase.shouldRun aka should.run found
2025-03-28T14:55:57.572+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.configuration                  : Configuration liquibase.shouldRun is using the default value of true
2025-03-28T14:55:57.573+06:00  INFO 96925 --- [JobSearch] [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2025-03-28T14:55:57.686+06:00  INFO 96925 --- [JobSearch] [main] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:jobsearch user=ROOT
2025-03-28T14:55:57.687+06:00  INFO 96925 --- [JobSearch] [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2025-03-28T14:55:57.694+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.database.jvm.ConnectionPatterns instance liquibase.database.jvm.JdbcConnectionPatterns
2025-03-28T14:55:57.701+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.database.Database instance liquibase.database.core.CockroachDatabase
2025-03-28T14:55:57.702+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.database.Database instance liquibase.database.core.DB2Database
2025-03-28T14:55:57.703+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.database.Database instance liquibase.database.core.Db2zDatabase
2025-03-28T14:55:57.704+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.database.Database instance liquibase.database.core.DerbyDatabase
2025-03-28T14:55:57.704+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.database.Database instance liquibase.database.core.EnterpriseDBDatabase
2025-03-28T14:55:57.704+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.database.Database instance liquibase.database.core.FirebirdDatabase
2025-03-28T14:55:57.705+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.database.Database instance liquibase.database.core.H2Database
2025-03-28T14:55:57.706+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.database.Database instance liquibase.database.core.HsqlDatabase
2025-03-28T14:55:57.707+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.database.Database instance liquibase.database.core.InformixDatabase
2025-03-28T14:55:57.707+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.database.Database instance liquibase.database.core.Ingres9Database
2025-03-28T14:55:57.708+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.database.Database instance liquibase.database.core.MSSQLDatabase
2025-03-28T14:55:57.709+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.database.Database instance liquibase.database.core.MariaDBDatabase
2025-03-28T14:55:57.711+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.database.Database instance liquibase.database.core.MockDatabase
2025-03-28T14:55:57.711+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.database.Database instance liquibase.database.core.MySQLDatabase
2025-03-28T14:55:57.712+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.database.Database instance liquibase.database.core.OracleDatabase
2025-03-28T14:55:57.712+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.database.Database instance liquibase.database.core.PostgresDatabase
2025-03-28T14:55:57.713+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.database.Database instance liquibase.database.core.SQLiteDatabase
2025-03-28T14:55:57.713+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.database.Database instance liquibase.database.core.SybaseASADatabase
2025-03-28T14:55:57.714+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.database.Database instance liquibase.database.core.SybaseDatabase
2025-03-28T14:55:57.714+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.database.Database instance liquibase.database.core.UnsupportedDatabase
2025-03-28T14:55:57.715+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.database.Database instance liquibase.database.core.SnowflakeDatabase
2025-03-28T14:55:57.734+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.database                       : Connected to ROOT@jdbc:h2:mem:jobsearch
2025-03-28T14:55:57.734+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.database                       : Setting auto commit to false from true
2025-03-28T14:55:57.739+06:00  INFO 96925 --- [JobSearch] [main] liquibase.database                       : Set default schema name to PUBLIC
2025-03-28T14:55:57.740+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.configuration                  : No configuration value for liquibase.liquibaseSchemaName aka liquibase.schemaName found
2025-03-28T14:55:57.744+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.configuration                  : No configuration value for liquibase.supportPropertyEscaping aka enableEscaping found
2025-03-28T14:55:57.744+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.configuration                  : Configuration liquibase.supportPropertyEscaping is using the default value of false
2025-03-28T14:55:57.751+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.command.CommandStep instance liquibase.command.core.CalculateChecksumCommandStep
2025-03-28T14:55:57.752+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.command.CommandStep instance liquibase.command.core.ChangelogSyncCommandStep
2025-03-28T14:55:57.752+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.command.CommandStep instance liquibase.command.core.ChangelogSyncSqlCommandStep
2025-03-28T14:55:57.752+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.command.CommandStep instance liquibase.command.core.ChangelogSyncToTagCommandStep
2025-03-28T14:55:57.752+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.command.CommandStep instance liquibase.command.core.ChangelogSyncToTagSqlCommandStep
2025-03-28T14:55:57.752+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.command.CommandStep instance liquibase.command.core.ClearChecksumsCommandStep
2025-03-28T14:55:57.753+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.command.CommandStep instance liquibase.command.core.DbDocCommandStep
2025-03-28T14:55:57.755+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.change.Change instance liquibase.change.core.AddAutoIncrementChange
2025-03-28T14:55:57.756+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.change.Change instance liquibase.change.core.AddColumnChange
2025-03-28T14:55:57.756+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.change.Change instance liquibase.change.core.AddDefaultValueChange
2025-03-28T14:55:57.757+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.change.Change instance liquibase.change.core.AddForeignKeyConstraintChange
2025-03-28T14:55:57.757+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.change.Change instance liquibase.change.core.AddLookupTableChange
2025-03-28T14:55:57.757+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.change.Change instance liquibase.change.core.AddNotNullConstraintChange
2025-03-28T14:55:57.758+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.change.Change instance liquibase.change.core.AddPrimaryKeyChange
2025-03-28T14:55:57.758+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.change.Change instance liquibase.change.core.AddUniqueConstraintChange
2025-03-28T14:55:57.758+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.change.Change instance liquibase.change.core.AlterSequenceChange
2025-03-28T14:55:57.758+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.change.Change instance liquibase.change.core.CreateIndexChange
2025-03-28T14:55:57.759+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.change.Change instance liquibase.change.core.CreateProcedureChange
2025-03-28T14:55:57.759+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.change.Change instance liquibase.change.core.CreateSequenceChange
2025-03-28T14:55:57.759+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.change.Change instance liquibase.change.core.CreateTableChange
2025-03-28T14:55:57.760+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.change.Change instance liquibase.change.core.CreateViewChange
2025-03-28T14:55:57.760+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.change.Change instance liquibase.change.core.DeleteDataChange
2025-03-28T14:55:57.760+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.change.Change instance liquibase.change.core.DropAllForeignKeyConstraintsChange
2025-03-28T14:55:57.761+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.change.Change instance liquibase.change.core.DropColumnChange
2025-03-28T14:55:57.761+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.change.Change instance liquibase.change.core.DropDefaultValueChange
2025-03-28T14:55:57.761+06:00 DEBUG 96925 --- [JobSearch] [main] liquibase.servicelocator                 : Loaded liquibase.change.Change instance liquibase.change.core.DropForeignKeyConstraintChange
